epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3302,3.07557,4.96896,2.73653,0,0,0,0,2.78456,4.98037,3.07572,2.858e-05,2.858e-05,2.858e-05
2,25.0138,3.1718,4.54426,3.02374,0,0,0,0,2.84576,4.80837,3.0242,7.00353e-05,7.00353e-05,7.00353e-05
3,28.1391,3.3477,4.59111,2.93532,0,0,0,0,0,82.3253,0,0.000109793,0.000109793,0.000109793
4,31.2456,3.09724,4.55996,2.80439,0,0,0,0,2.80277,4.7222,3.23962,0.000147853,0.000147853,0.000147853
5,35.1132,3.54513,4.98948,3.00127,0,0,0,0,2.92124,4.91319,3.40348,0.000184215,0.000184215,0.000184215
6,38.1787,2.99205,4.74327,2.77917,0,0,0,0,2.93515,4.60996,3.38011,0.00021888,0.00021888,0.00021888
7,41.5989,3.00685,4.41594,2.74338,0,0,0,0,3.00247,4.9964,3.39663,0.000251847,0.000251847,0.000251847
8,45.0141,2.86644,4.42296,2.50892,0,0,0,0,3.02465,4.66355,3.3419,0.000283116,0.000283116,0.000283116
9,47.5848,1.94968,43.9971,1.76057,0,0,0,0,3.08364,4.6621,3.25854,0.000312688,0.000312688,0.000312688
10,50.5107,2.81779,4.65922,2.48502,0,0,0,0,0,81.0178,0,0.000340562,0.000340562,0.000340562
11,53.7536,2.86986,4.53114,2.72732,0,0,0,0,3.27015,4.942,3.25132,0.000366739,0.000366739,0.000366739
12,57.2736,1.97063,42.0883,1.69994,0,0,0,0,3.47236,5.47672,3.25309,0.000391217,0.000391217,0.000391217
13,60.9584,2.83644,4.42249,2.4637,0,0,0,0,3.75558,5.01032,3.28028,0.000413998,0.000413998,0.000413998
14,64.0015,2.82025,5.0539,2.40207,0,0,0,0,0,80.605,0,0.000435082,0.000435082,0.000435082
15,67.631,2.92398,4.46571,2.53374,0.00041,0.13333,0.0026,0.00026,3.47225,5.0568,3.07305,0.000454468,0.000454468,0.000454468
